,layoff_date
3/16/2020,155
3/17/2020,71
3/15/2020,53
3/18/2020,39
3/20/2020,27
3/23/2020,27
3/31/2020,16
4/8/2020,13
3/26/2020,10
3/19/2020,9
3/21/2020,8
4/13/2020,8
3/14/2020,5
3/29/2020,5
3/22/2020,4
3/30/2020,4
3/13/2020,3
Separation,3
3/25/2020,3
3/12/2020,2
The,2
3/27/2020,2
A,2
3/11/2020,2
Close,2
4/12/2020,2
-----,2
88,1
330,1
7/31/2020,1
81,1
356,1
2/23/2020,1
3/24/2020,1
5/1/2020,1
3/6/2020,1
86,1
March,1
51,1
362,1
3/10/2020,1
